Accession,Signal_Peptide,Subcellular_Location
Q8BRN9,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21155902}.
O35615,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9230307}.
Q9CX60,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11336496}. Cytoplasm {ECO:0000250}.
Q5SU73,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10806077}. Nucleus, Cajal body {ECO:0000250|UniProtKB:P38432}."
P56671,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26089202}.
Q8BPP1,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10556287}. Cytoplasm {ECO:0000250|UniProtKB:Q9Y586}. Note=Predominantly localizes to the nucleus, with some cytoplasmic localization. {ECO:0000250|UniProtKB:Q9Y586}."
O70299,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10556287}.
Q9EPA7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16914673}.
Q8BG17,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:16430885}."
Q60641,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19864602}.
Q8R1B8,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16574740}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q92753}."
Q924K8,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00512, ECO:0000255|PROSITE-ProRule:PRU00624, ECO:0000269|PubMed:11483358}. Cytoplasm {ECO:0000269|PubMed:11483358}."
Q9CQJ2,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17335777}.
Q64364,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q8N726, ECO:0000269|PubMed:10359817, ECO:0000269|PubMed:15567177, ECO:0000269|PubMed:15601844, ECO:0000269|PubMed:8521522}. Nucleus, nucleoplasm {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform smARF]: Mitochondrion {ECO:0000269|PubMed:16713577}."
Q8CEE0,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:12954732, ECO:0000269|PubMed:18294141}."
Q5DU05,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:22863007, ECO:0000269|PubMed:26337392}. Nucleus {ECO:0000250|UniProtKB:Q9UPV0}. Note=Localizes specifically to very distally located appendage structures on the mature centriole from which initiate PC formation (PubMed:26337392). Persisted at centrioles throughout mitosis (By similarity). In response to DNA damage, it translocates to nuclear foci that contain the DNA damage response proteins KAT5/TIP60 and CHEK1 (By similarity). {ECO:0000250|UniProtKB:Q9UPV0, ECO:0000269|PubMed:26337392}."
Q61074,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9271424}. Membrane {ECO:0000250|UniProtKB:O15355}; Lipid-anchor {ECO:0000250|UniProtKB:O15355}.
Q9QXX8,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10556305}. Note=Distributed in the nucleus in a dot-like pattern.
Q3UTQ7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12175877}.
E9Q8T2,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28740264}.
Q571I4,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:D3ZMK9}. Nucleus {ECO:0000269|PubMed:25038227}. Cell junction, focal adhesion {ECO:0000250|UniProtKB:Q86YV5}. Note=Colocalized with NOTCH1 in the nucleus (PubMed:25038227)."
Q8CBD1,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15879431}.
Q76KJ5,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:15226435}. Note=Accumulates in the nucleolus of exponentially growing cells."
Q8CHV6,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00624, ECO:0000269|PubMed:16299514}. Chromosome {ECO:0000269|PubMed:16299514}."
Q8BML1,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18241670}. Nucleus {ECO:0000250|UniProtKB:O94851}.
Q8BU27,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14654243}.
P58501,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22862948}.
E9Q9M8,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:34180153}.
Q8C1B2,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23275542}.
Q91Z31,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10829067}.
Q2MH31,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:18163442}. Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=Localizes to the manchette in elongating spermatids. Predominantly perinuclear in bronchial epithelial cells but also detected in the nucleus in some primary epithelial cells and in a number of cell lines."
P59941,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15795229, ECO:0000269|PubMed:16439206}. Note=Predominantly nuclear. Associated with chromatin."
Q60520,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21454521}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q96ST3}. Note=Recruited to the nucleolus by SAP30L. {ECO:0000250|UniProtKB:Q96ST3, ECO:0000269|PubMed:21454521}."
Q62232,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8814301}.
P70700,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9H9Y6}. Chromosome {ECO:0000269|PubMed:30272023, ECO:0000269|PubMed:30746471, ECO:0000269|PubMed:30949703}."
Q3UIK4,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24394384, ECO:0000269|PubMed:28914256, ECO:0000269|PubMed:29547716}."
Q99KK2,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11893746, ECO:0000269|PubMed:9689047}."
Q9Z1J3,,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:9738949}. Cytoplasm {ECO:0000250|UniProtKB:Q9Y697}. Nucleus {ECO:0000250|UniProtKB:Q9Y697}.
Q9JHR9,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10860982}.
P11928,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15899864}. Mitochondrion {ECO:0000250|UniProtKB:P00973}. Nucleus {ECO:0000250|UniProtKB:P00973}. Microsome {ECO:0000250|UniProtKB:P00973}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P00973}. Note=Associated with different subcellular fractions such as mitochondrial, nuclear, and rough/smooth microsomal fractions. {ECO:0000250|UniProtKB:P00973}."
Q8R4V5,"SIGNAL 1..19;  /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Nucleus envelope {ECO:0000269|PubMed:15346761}. Note=Secreted into blood in a truncated form.
P50580,,"SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000250|UniProtKB:Q9UQ80}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9UQ80}. Note=Phosphorylation at Ser-361 by PKC/PRKCD regulates its nucleolar localization. {ECO:0000250|UniProtKB:Q9UQ80}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:7556453}."
Q8K3D3,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20976249}.
Q8C7R7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20148032}.
Q9WTV7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19945382}.
Q04692,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18675275, ECO:0000269|PubMed:21549307, ECO:0000269|PubMed:8219362}. Chromosome {ECO:0000250}. Note=Colocalizes with PCNA at replication forks during S phase. Recruited to double-strand breaks (DSBs) sites of DNA damage (By similarity). {ECO:0000250}."
Q8BX46,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15528197}.
A7M7C7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18522874}. Cytoplasm {ECO:0000250}.
Q9R0U0,,SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:10583508}.
Q6PDM2,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q07955}. Nucleus speckle {ECO:0000269|PubMed:28785060}. Note=In nuclear speckles. Shuttles between the nucleus and the cytoplasm. Nuclear import is mediated via interaction with TNPO3. {ECO:0000250|UniProtKB:Q07955}.
P97368,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21059917}.
Q9D517,,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:19114731}; Multi-pass membrane protein {ECO:0000255}. Nucleus envelope {ECO:0000250|UniProtKB:Q9NRZ7}.
B2RS91,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12015311}."
Q9D074,,"SUBCELLULAR LOCATION: Early endosome {ECO:0000269|PubMed:19422019, ECO:0000269|PubMed:19524515}. Note=The endosomal localization is dependent on the interaction with TSG101. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm. Cell membrane {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm. Nucleus. Note=In the cytoplasm, predominantly localized to the perinuclear region and discrete vesicular structures. In the nucleus, broadly distributed, but excluded from nucleoli."
Q69ZX6,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29728365}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9Y6X9}. Chromosome {ECO:0000250|UniProtKB:Q9Y6X9}. Nucleus matrix {ECO:0000250|UniProtKB:Q9Y6X9}. Note=Mainly located in the nucleus. Upon phosphorylation at Ser-737, recruited to damaged chromatin. {ECO:0000250|UniProtKB:Q9Y6X9}."
P12813,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:2555161}. Cytoplasm {ECO:0000250|UniProtKB:P22736}. Mitochondrion {ECO:0000250|UniProtKB:P22736}. Note=Nuclear export to the cytoplasm is XPO1-mediated and positively regulated by IFI27. Translocation to the mitochondrion upon interaction with RXRA and upon the presence of 9-cis retinoic acid (By similarity). {ECO:0000250|UniProtKB:P22736}.
Q9D6Z1,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}. Cytoplasm {ECO:0000269|PubMed:21683323}. Nucleus, nucleoplasm {ECO:0000250}."
Q8CGY8,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O15294}. Nucleus {ECO:0000269|PubMed:29465778}. Cell membrane {ECO:0000250|UniProtKB:O15294}. Mitochondrion membrane {ECO:0000250|UniProtKB:P56558}. Cell projection {ECO:0000250|UniProtKB:P56558}. Note=Mostly in the nucleus. Retained in the nucleus via interaction with HCFC1. After insulin induction, translocated from the nucleus to the cell membrane via phosphatidylinositide binding. Colocalizes with AKT1 at the plasma membrane (By similarity). TRAK1 recruits this protein to mitochondria. In the absence of TRAK1, localizes in cytosol and nucleus (By similarity). {ECO:0000250|UniProtKB:O15294, ECO:0000250|UniProtKB:P56558}."
O89090,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:27918959}. Cytoplasm {ECO:0000250}. Note=Nuclear location is governed by glycosylated/phosphorylated states. Insulin promotes nuclear location, while glucagon favors cytoplasmic location (By similarity). {ECO:0000250}."
Q9WU12,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10318933}.
Q5HZG4,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17704303}.
Q9JI13,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11404095}.
Q9D2X5,,"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9Y6X3}. Chromosome {ECO:0000269|PubMed:24287868}. Nucleus {ECO:0000250|UniProtKB:Q9Y6X3}. Note=Binds to chromatin from the end of mitosis until prophase. {ECO:0000250|UniProtKB:Q9Y6X3}."
Q8C8M1,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28554894}.
Q6IMB1,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:20168301}. Note=Associates with rDNA transcription unit throughout the cell cycle."
Q5DP50,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16343427}.
Q99PP7,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15314655, ECO:0000269|PubMed:16751102}. Note=In discrete nuclear dots resembling nuclear bodies."
Q8CH72,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14578165, ECO:0000269|PubMed:16816390}. Note=Localized in cytoplasmic bodies, often located around the nucleus. {ECO:0000250|UniProtKB:Q13049}."
Q9JJF3,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}. Nucleus, nucleoplasm {ECO:0000269|PubMed:14742713, ECO:0000269|PubMed:19927124}."
Q9D2Y5,,SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000269|PubMed:25882846}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q7Z614}; Cytoplasmic side {ECO:0000250|UniProtKB:Q7Z614}. Cell membrane {ECO:0000250|UniProtKB:Q7Z614}. Cytoplasm {ECO:0000250|UniProtKB:Q7Z614}. Nucleus {ECO:0000250|UniProtKB:Q7Z614}.
P62320,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P62318}. Nucleus {ECO:0000269|PubMed:19470752}. Note=SMN-mediated assembly into core snRNPs occurs in the cytosol before SMN-mediated transport to the nucleus to be included in spliceosomes. {ECO:0000250|UniProtKB:P62318}."
P35710,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9755172}.
Q9QY31,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10606664}.
Q8BGW5,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16533169}. Note=Localizes to nuclear foci following DNA damage. {ECO:0000250}.
Q00196,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17285328}. Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000255|PROSITE-ProRule:PRU00530, ECO:0000269|PubMed:17285328}. Note=In alveolus epithelial cells of mammary glands, present in the nucleus and cytoplasm. In HC11 mammary epithelial cells, present in the nucleus and preinuclear regions."
P50220,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22955271}.
P20293,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:7588606}.
Q8C0L0,"SIGNAL 1..20;  /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:31142202}; Single-pass type I membrane protein {ECO:0000255}.
Q8R5H1,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24852371}. Nucleus {ECO:0000250|UniProtKB:Q9Y4E8}. Mitochondrion {ECO:0000250|UniProtKB:Q9Y4E8}.
Q80WQ9,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O75132}. Nucleus {ECO:0000269|PubMed:19369242}. Photoreceptor inner segment {ECO:0000250|UniProtKB:O75132}.
P28700,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26463675}. Cytoplasm {ECO:0000250|UniProtKB:P19793}. Mitochondrion {ECO:0000250|UniProtKB:P19793}. Note=Localization to the nucleus is enhanced by vitamin D3 (By similarity). Nuclear localization may be enhanced by the interaction with heterodimerization partner VDR (By similarity). Translocation to the mitochondrion upon interaction with NR4A1 (By similarity). Increased nuclear localization upon pulsatile shear stress (By similarity). {ECO:0000250|UniProtKB:P19793}.
Q3TKT4,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00549, ECO:0000269|PubMed:26138476}. Note=Colocalizes with long non-coding RNA Evf2 in nuclear RNA clouds. {ECO:0000269|PubMed:26138476}."
Q9JJF2,,"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Cytoplasm, cytoskeleton {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 1]: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:O55034}. Nucleus envelope {ECO:0000269|PubMed:26621829}. Nucleus inner membrane {ECO:0000305}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000250|UniProtKB:O55034}. Note=In spermatids, isoform 1 is localized in the transient manchette and in the axoneme of elongating spermatids and epididymal sperm (By similarity). Conflictingly is not found in axoneme but only associated with the manchette where cytoplasmic microtubules contact the nuclear envelope. Localizes at the posterior lateral side of round and elongating spermatids (PubMed:26621829). {ECO:0000250|UniProtKB:O55034, ECO:0000269|PubMed:26621829}."
B1AUS7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21725589}.
Q921F2,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q13148}. Cytoplasm {ECO:0000269|PubMed:30464263}. Cytoplasm, Stress granule {ECO:0000250|UniProtKB:Q13148}. Mitochondrion {ECO:0000250|UniProtKB:Q13148}. Note=Continuously travels in and out of the nucleus. Localizes to stress granules in response to oxidative stress. A small subset localizes in mitochondria. {ECO:0000250|UniProtKB:Q13148}."
Q9JKD8,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10761931, ECO:0000269|PubMed:15662016, ECO:0000269|PubMed:21690296, ECO:0000269|PubMed:23616576}."
P07978,,SUBCELLULAR LOCATION: Nucleus. Chromosome {ECO:0000269|PubMed:28366643}.
P40646,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267, ECO:0000269|PubMed:11691915}. Cytoplasm {ECO:0000269|PubMed:11691915}."
Q6PDZ2,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9451438}.
Q9D5S1,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q99MV2}. Note=Was initially reported to localize in the nucleus. {ECO:0000269|PubMed:18096721}.
Q99MD8,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14694499}.
Q60636,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8168136}. Cytoplasm {ECO:0000250|UniProtKB:O75626}.
Q9QXE4,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}. Nucleus {ECO:0000269|PubMed:11557757}. Nucleus, PML body {ECO:0000250}. Cytoplasmic vesicle, autophagosome {ECO:0000250}. Note=Shuttles between the nucleus and the cytoplasm, depending on cellular stress conditions, and re-localizes to autophagosomes on autophagy activation. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm."
Q8K0L9,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:11744704}.
Q1RNF8,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16539743}.
Q8VIJ6,,SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250|UniProtKB:P23246}. Nucleus matrix {ECO:0000269|PubMed:21680841}. Cytoplasm {ECO:0000250|UniProtKB:P23246}. Note=Predominantly in nuclear matrix. {ECO:0000250|UniProtKB:P23246}.
Q9JKN6,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8558240}.
Q924H7,,SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:11827461}. Nucleus {ECO:0000250|UniProtKB:Q9BTA9}. Note=In distinct nuclear speckles. Colocalizes with pre-mRNA processing complexes.
P11260,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9UN81}. Cytoplasm {ECO:0000269|PubMed:28806172}. Cytoplasm, Cytoplasmic ribonucleoprotein granule {ECO:0000250|UniProtKB:Q9UN81}. Cytoplasm, Stress granule {ECO:0000250|UniProtKB:Q9UN81}. Note=Colocalizes with its encoding RNA in cytoplasmic ribonucleoprotein particle. Mainly cytoplasmic, rarely detected in the nucleus, possibly within the nucleolus. {ECO:0000250|UniProtKB:Q9UN81}."
Q9Z2D7,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9774669}. Note=Nuclear, in discrete foci."
Q02614,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:1459361}.
Q8CDD9,,SUBCELLULAR LOCATION: Chromosome {ECO:0000269|PubMed:26391951}. Nucleus matrix {ECO:0000250|UniProtKB:Q5T3J3}. Note=Localizes to Barr body; recruited by SMCHD1. {ECO:0000250|UniProtKB:Q5T3J3}.
Q91WS2,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q63035}. Inflammasome {ECO:0000269|PubMed:30248149, ECO:0000269|PubMed:34678144}.; SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000250|UniProtKB:Q63035}. Inflammasome {ECO:0000250|UniProtKB:P59044}. Cell membrane {ECO:0000250|UniProtKB:Q63035}. Nucleus membrane {ECO:0000250|UniProtKB:Q63035}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000250|UniProtKB:Q63035}. Cell membrane {ECO:0000250|UniProtKB:Q63035}. Note=Predominantly expressed in the cell membrane. {ECO:0000250|UniProtKB:Q63035}."
Q9DAD6,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Nucleus {ECO:0000269|PubMed:18692047}."
Q8R3N6,,"SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250}. Nucleus, nucleoplasm {ECO:0000269|PubMed:16705185}. Nucleus matrix {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=Can shuttle between the nucleus and cytoplasm. Nuclear localization is required for induction of apoptotic cell death. Translocates to the cytoplasm during the early phase of apoptosis execution (By similarity). {ECO:0000250}."
O88554,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10364231}. Chromosome {ECO:0000250|UniProtKB:Q9UGN5}. Note=Recruited to DNA damage sites. {ECO:0000250|UniProtKB:Q9UGN5}.
Q8K202,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:8641287, ECO:0000269|PubMed:9254723}."
O88685,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Nucleus {ECO:0000305}. Note=Colocalizes with TRIM5 in cytoplasmic bodies. {ECO:0000269|PubMed:22078707}.
P27048,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P14678}. Nucleus {ECO:0000269|PubMed:19470752}. Note=SMN-mediated assembly into core snRNPs occurs in the cytosol before SMN-mediated transport to the nucleus to be included in spliceosomes. {ECO:0000250|UniProtKB:P14678}."
Q9ESX2,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14551215}.
Q91WC0,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q86TU7}. Nucleus {ECO:0000269|PubMed:21832073}. Note=Localizes mainly in the cytoplasm. {ECO:0000250|UniProtKB:Q86TU7}.
Q7TQ40,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15465018}.
Q91WQ5,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:31005419}.
Q69ZR9,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24781204}. Chromosome {ECO:0000250|UniProtKB:Q9UK61}. Note=Localizes to chromatin. {ECO:0000250|UniProtKB:Q9UK61}.
P16373,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8547218}.
Q8K4P0,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11162572}.
O09053,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q14191}. Nucleus {ECO:0000269|PubMed:9618508}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q14191}. Chromosome {ECO:0000250|UniProtKB:Q14191}. Note=Gamma-irradiation leads to its translocation from nucleoli to nucleoplasm and PML regulates the irradiation-induced WRN relocation. Localizes to DNA damage sites. {ECO:0000250|UniProtKB:Q14191}."
Q8C0C0,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000269|PubMed:17056598, ECO:0000269|PubMed:19515908, ECO:0000269|PubMed:30146259}. Note=Colocalizes with EFNB1 intracellular domain in the nucleus. {ECO:0000269|PubMed:19515908}."
P22227,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16960129}.
A2A761,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26232096}.
E9Q6W4,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24161396}.
P46938,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P46937}. Nucleus {ECO:0000269|PubMed:21145499, ECO:0000269|PubMed:28087714}. Note=Both phosphorylation and cell density can regulate its subcellular localization (By similarity). Phosphorylation sequesters it in the cytoplasm by inhibiting its translocation into the nucleus (By similarity). At low density, predominantly nuclear and is translocated to the cytoplasm at high density. PTPN14 induces translocation from the nucleus to the cytoplasm (By similarity). Localized mainly to the nucleus in the early stages of embryo development with expression becoming evident in the cytoplasm at the blastocyst and epiblast stages (PubMed:21145499). {ECO:0000250|UniProtKB:P46937, ECO:0000269|PubMed:21145499}."
B2RRF6,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:25680957}.
E9Q8G5,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:30654721}.
E9Q784,,"SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250|UniProtKB:Q5T200}. Nucleus, nucleoplasm {ECO:0000269|PubMed:29547716}."
Q3UB74,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17110379}.
P63002,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12050133}.
P62996,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28785060}.
Q9JJ48,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11318609}. Note=Colocalizes with coilin in subnuclear cajal and histone locus bodies. Translocates in the LEC complex to cajal and histone locus bodies at snRNA genes in a ICE1-dependent manner. Associates to transcriptionally active chromatin at snRNA genes (By similarity). {ECO:0000250}.
Q8CHP0,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16115198}.
P61965,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15860628}.
Q9ERQ3,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17693064}.
B2RX14,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q5TAX3}. Cytoplasm {ECO:0000269|PubMed:19703396}. Cytoplasm, Cytoplasmic ribonucleoprotein granule {ECO:0000250|UniProtKB:Q5TAX3}. Note=Mainly cytoplasmic (PubMed:19703396). Translocates into the cytoplasm following treatment of the cell with LPS. Co-enriched in cytoplasmic foci with MOV10. {ECO:0000250|UniProtKB:Q5TAX3, ECO:0000269|PubMed:19703396}."
Q8VDW4,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21229326}. Note=In the nucleus, colocalizes with FANCL."
